gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4133793047,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/166185971,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.195605,-123.128344,26582,,,,,,2023-06-07T20:27:09,7,6,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,166185971,,kairune,2023-06-08T03:33:27,CC_BY_NC_4_0,kairune,kairune,,,2024-04-13T14:22:20.385Z,StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4162243437,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/171229890,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,51.97586,-122.411954,8,,,,,,2023-06-28T00:11:33,28,6,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,171229890,,Julia Carr,2023-07-05T16:34:03,CC0_1_0,Julia Carr,Julia Carr,,,2024-04-13T15:05:44.111Z,Sound;Sound,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4516236370,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/197307801,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,54.531307,-124.104518,4038,,,,,,2023-12-11T16:44:35,11,12,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,197307801,,wheelhomie,2024-01-22T13:12:12,CC_BY_NC_4_0,wheelhomie,wheelhomie,,,2024-04-13T13:37:30.864Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4507924764,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/195021255,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,53.804782,-123.05598,2,,,,,,2023-12-01T04:10,1,12,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,195021255,,S.Wolf,2023-12-27T23:09:26,CC_BY_NC_4_0,S.Wolf,S.Wolf,,,2024-04-13T14:26:24.948Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4453763061,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/192205171,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.292651,-123.139707,17,,,,,,2023-11-26T06:12:19,26,11,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,192205171,,Guerric Haché,2023-11-26T14:29:35,CC0_1_0,Guerric Haché,Guerric Haché,,,2024-04-13T13:39:51.808Z,StillImage;StillImage;StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4500830157,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/193929699,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,54.709517,-127.039307,19,,,,,,2023-12-13T20:52:30,13,12,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,193929699,,David Bradford,2023-12-14T05:52:17,CC_BY_NC_4_0,David Bradford,David Bradford,,,2024-04-13T13:36:55.361Z,StillImage;StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4438932172,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/189893727,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.286818,-123.038952,231,,,,,,2023-11-03T11:05,3,11,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,189893727,,hdcooper,2023-11-03T21:47:46,CC_BY_NC_4_0,hdcooper,hdcooper,,,2024-04-13T14:26:16.828Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4596932650,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/201981323,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.238721,-122.806037,61,,,,,,2023-05-03T09:39,3,5,2023,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,201981323,,Derek @ my.tlahutum,2024-03-10T22:45:30,CC_BY_NC_4_0,Derek @ my.tlahutum,Derek @ my.tlahutum,,,2024-04-13T13:39:16.981Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4597043352,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/202239544,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.238422,-122.812963,15,,,,,,2024-03-11T09:34,11,3,2024,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,202239544,,Derek @ my.tlahutum,2024-03-13T03:23:40,CC_BY_NC_4_0,Derek @ my.tlahutum,Derek @ my.tlahutum,,,2024-04-13T13:39:05.832Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4510170462,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/195893562,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,,SPECIES,"Canis latrans Say, 1823",Canis latrans,,CA,,British Columbia,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.141017,-123.194778,4,,,,,,2024-01-04T16:56:18,4,1,2024,5219153,5219153,HUMAN_OBSERVATION,iNaturalist,Observations,195893562,,mattbakken,2024-01-06T03:49:41,CC_BY_NC_4_0,mattbakken,mattbakken,,,2024-04-13T13:37:12.836Z,StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
